n,p,time,speedup,,n,p,time,speedup,,n,p,time,speedup,,n,p,time,speedup,,n,p,time,speedup,,n,p,time,speedup,,n,p,time,speedup,,n,p,time,speedup,,n,p,time,speedup
101,1,0.000065,1,,101,1,0.000046,1,,101,1,0.000057,1,,101,1,0.000049,1,,101,1,0.000066,1,,101,1,0.000046,1,,101,1,0.000051,1,,101,1,0.000048,1,,101,1,0.0000535,1
,2,0.00102,0.06372549,,,2,0.000257,0.178988327,,,2,0.000465,0.122580645,,,2,0.000553,0.088607595,,,2,0.000515,0.12815534,,,2,0.000524,0.08778626,,,2,0.001037,0.049180328,,,2,0.000298,0.161073826,,,2,0.000583625,0.091668451
,4,0.001357,0.047899779,,,4,0.001314,0.03500761,,,4,0.001182,0.04822335,,,4,0.000564,0.086879433,,,4,0.001419,0.046511628,,,4,0.001403,0.032786885,,,4,0.002273,0.022437308,,,4,0.000911,0.052689352,,,4,0.001302875,0.041063034
,8,0.000046,1.413043478,,,8,0.003458,0.013302487,,,8,0.003159,0.018043685,,,8,0.005476,0.008948137,,,8,0.007019,0.009403049,,,8,0.002955,0.015566836,,,8,0.003511,0.014525776,,,8,0.005381,0.008920275,,,8,0.003875625,0.013804225
,16,0.007394,0.008790912,,,16,0.007769,0.005920968,,,16,0.007026,0.008112724,,,16,0.007499,0.006534205,,,16,0.001109,0.059513075,,,16,0.003915,0.011749681,,,16,0.007371,0.006919007,,,16,0.007174,0.006690828,,,16,0.006157125,0.00868912
,32,0.016018,0.004057935,,,32,0.015203,0.003025719,,,32,0.015965,0.00357031,,,32,0.016065,0.003050109,,,32,0.016795,0.003929741,,,32,0.015531,0.002961818,,,32,0.016017,0.003184117,,,32,0.015196,0.003158726,,,32,0.01584875,0.003375661
1009,1,0.001621,1,,1009,1,0.001656,1,,1009,1,0.001619,1,,1009,1,0.0017,1,,1009,1,0.001696,1,,1009,1,0.001624,1,,1009,1,0.001624,1,,1009,1,0.001656,1,,1009,1,0.0016495,1
,2,0.00134,1.209701493,,,2,0.00164,1.009756098,,,2,0.001073,1.508853681,,,2,0.001478,1.150202977,,,2,0.001721,0.985473562,,,2,0.001091,1.488542621,,,2,0.001067,1.522024367,,,2,0.000899,1.842046719,,,2,0.001288625,1.280046561
,4,0.002575,0.629514563,,,4,0.004016,0.412350598,,,4,0.00208,0.778365385,,,4,0.00356,0.47752809,,,4,0.00287,0.590940767,,,4,0.002232,0.727598566,,,4,0.001768,0.918552036,,,4,0.003195,0.518309859,,,4,0.002787,0.591855041
,8,0.003335,0.486056972,,,8,0.002117,0.782239017,,,8,0.003666,0.44162575,,,8,0.006854,0.248030347,,,8,0.004055,0.418249075,,,8,0.000253,6.418972332,,,8,0.003511,0.462546283,,,8,0.006551,0.252785834,,,8,0.00379275,0.434908707
,16,0.005519,0.293712629,,,16,0.007722,0.214452214,,,16,0.007974,0.203034863,,,16,0.002549,0.666928207,,,16,0.008741,0.194028143,,,16,0.008074,0.20113946,,,16,0.006905,0.23519189,,,16,0.007326,0.226044226,,,16,0.00685125,0.240758986
,32,0.015973,0.101483754,,,32,0.015716,0.105370323,,,32,0.01644,0.098479319,,,32,0.015426,0.110203552,,,32,0.015831,0.107131577,,,32,0.015753,0.103091475,,,32,0.016089,0.100938529,,,32,0.016408,0.100926377,,,32,0.0159545,0.103387759
10007,1,0.003943,1,,10007,1,0.00399,1,,10007,1,0.003949,1,,10007,1,0.004175,1,,10007,1,0.004128,1,,10007,1,0.003953,1,,10007,1,0.004051,1,,10007,1,0.004113,1,,10007,1,0.00403775,1
,2,0.003391,1.16278384,,,2,0.003702,1.077795786,,,2,0.002436,1.621100164,,,2,0.003364,1.241082045,,,2,0.003375,1.223111111,,,2,0.003129,1.263342921,,,2,0.002487,1.628870125,,,2,0.002554,1.610415035,,,2,0.00305475,1.321793927
,4,0.004039,0.976231741,,,4,0.005187,0.769230769,,,4,0.0023,1.716956522,,,4,0.002757,1.514327167,,,4,0.001074,3.843575419,,,4,0.001257,3.144789181,,,4,0.002576,1.572593168,,,4,0.002635,1.560910816,,,4,0.002728125,1.480045819
,8,0.002427,1.624639473,,,8,0.007137,0.559058428,,,8,0.004037,0.978201635,,,8,0.007029,0.593967847,,,8,0.005635,0.73256433,,,8,0.004165,0.94909964,,,8,0.004159,0.974032219,,,8,0.004275,0.962105263,,,8,0.004858,0.831154796
,16,0.005152,0.765333851,,,16,0.009281,0.42991057,,,16,0.00791,0.499241466,,,16,0.007068,0.590690436,,,16,0.007472,0.552462527,,,16,0.008865,0.445910886,,,16,0.007568,0.535280127,,,16,0.00883,0.465798414,,,16,0.00776825,0.519776011
,32,0.016347,0.241206338,,,32,0.016068,0.248319642,,,32,0.008119,0.48638995,,,32,0.016266,0.256670355,,,32,0.014945,0.27621278,,,32,0.015122,0.261407221,,,32,0.015956,0.253885686,,,32,0.017184,0.239350559,,,32,0.015000875,0.269167632
100003,1,0.15025,1,,100003,1,0.151865,1,,100003,1,0.151235,1,,100003,1,0.161575,1,,100003,1,0.156898,1,,100003,1,0.152605,1,,100003,1,0.15055,1,,100003,1,0.152428,1,,100003,1,0.15342575,1
,2,0.079343,1.893676821,,,2,0.085804,1.769905832,,,2,0.079523,1.901776844,,,2,0.083923,1.925276742,,,2,0.079008,1.985849534,,,2,0.081019,1.88357052,,,2,0.079018,1.905262092,,,2,0.085403,1.784808496,,,2,0.081630125,1.879523644
,4,0.050696,2.963744674,,,4,0.045822,3.314237702,,,4,0.050696,2.983174215,,,4,0.055805,2.895349879,,,4,0.054651,2.870908126,,,4,0.050448,3.024996036,,,4,0.051754,2.908953897,,,4,0.049984,3.049535851,,,4,0.051232,2.994724977
,8,0.036132,4.158363777,,,8,0.026524,5.725569296,,,8,0.027859,5.428586812,,,8,0.030191,5.351760458,,,8,0.039757,3.946424529,,,8,0.034498,4.423589773,,,8,0.035304,4.264389304,,,8,0.030979,4.920365409,,,8,0.0326555,4.698312689
,16,0.029599,5.076185006,,,16,0.027426,5.53726391,,,16,0.03445,4.389985486,,,16,0.042753,3.779266952,,,16,0.043616,3.597257887,,,16,0.024771,6.160631383,,,16,0.033785,4.45611958,,,16,0.031933,4.773369242,,,16,0.033541625,4.574189533
,32,0.038838,3.868633812,,,32,0.032069,4.735570177,,,32,0.025997,5.817402008,,,32,0.056985,2.835395279,,,32,0.053683,2.922675707,,,32,0.036308,4.203068194,,,32,0.045639,3.298713819,,,32,0.008232,18.51652089,,,32,0.037218875,4.122256516
1000003,1,1.01265,1,,1000003,1,1.026493,1,,1000003,1,1.0312,1,,1000003,1,1.070511,1,,1000003,1,1.06656,1,,1000003,1,1.033962,1,,1000003,1,1.029133,1,,1000003,1,1.031221,1,,1000003,1,1.03771625,1
,2,0.563629,1.796660569,,,2,0.514537,1.99498384,,,2,0.522476,1.973679174,,,2,0.568928,1.881628255,,,2,0.54268,1.965357117,,,2,0.517487,1.998044395,,,2,0.518655,1.984234221,,,2,0.516242,1.997553473,,,2,0.53307925,1.946645363
,4,0.304676,3.323694679,,,4,0.279989,3.666190457,,,4,0.310341,3.322796537,,,4,0.354033,3.023760497,,,4,0.366438,2.910615165,,,4,0.299299,3.454612277,,,4,0.292931,3.513226664,,,4,0.307604,3.352430398,,,4,0.314413875,3.300478549
,8,0.176358,5.742013405,,,8,0.179088,5.731779907,,,8,0.178762,5.768563789,,,8,0.192929,5.548730362,,,8,0.191547,5.568137324,,,8,0.182596,5.66256654,,,8,0.178714,5.758547176,,,8,0.178706,5.77048896,,,8,0.1823375,5.691183931
,16,0.142053,7.128677325,,,16,0.155599,6.597041112,,,16,0.164537,6.267283347,,,16,0.199142,5.375616394,,,16,0.201357,5.296860799,,,16,0.166196,6.221341067,,,16,0.160086,6.428625864,,,16,0.156241,6.600194571,,,16,0.168151375,6.171321822
,32,0.177868,5.693266917,,,32,0.149833,6.850914018,,,32,0.097935,10.52943279,,,32,0.20617,5.192370374,,,32,0.28373,3.759066718,,,32,0.178525,5.79169304,,,32,0.195553,5.262680705,,,32,0.180209,5.722361258,,,32,0.183727875,5.648115453
10000019,1,37.584283,1,,10000019,1,37.766949,1,,10000019,1,37.797555,1,,10000019,1,39.085101,1,,10000019,1,39.167762,1,,10000019,1,37.655023,1,,10000019,1,37.526448,1,,10000019,1,37.869137,1,,10000019,1,38.05653225,1
,2,18.848385,1.994032009,,,2,18.782059,2.010799189,,,2,18.913686,1.998423523,,,2,19.594152,1.994732969,,,2,20.740644,1.888454476,,,2,18.795524,2.003403736,,,2,18.874507,1.988208116,,,2,18.927998,2.000694263,,,2,19.18461938,1.983700146
,4,9.844028,3.817978068,,,4,10.672881,3.538589908,,,4,10.877667,3.47478508,,,4,12.826667,3.047175155,,,4,12.873027,3.042622532,,,4,10.763601,3.498366671,,,4,10.803347,3.473594618,,,4,9.839128,3.848830608,,,4,11.06254325,3.440125059
,8,6.582479,5.709745979,,,8,6.885468,5.485022805,,,8,7.115671,5.311875015,,,8,7.199835,5.428610656,,,8,7.096298,5.519464092,,,8,6.483236,5.808059895,,,8,6.479868,5.791236488,,,8,6.475591,5.847981597,,,8,6.78980575,5.604951548
,16,4.791861,7.843358353,,,16,4.727766,7.988328737,,,16,4.637273,8.150815145,,,16,5.364325,7.286117265,,,16,5.437699,7.203002961,,,16,4.829074,7.797565952,,,16,4.833825,7.763302974,,,16,4.843787,7.818084693,,,16,4.93320125,7.714368484
,32,4.300923,8.738655168,,,32,4.256653,8.872451901,,,32,3.996324,9.458080726,,,32,4.300642,9.088201482,,,32,4.20045,9.324658548,,,32,4.223552,8.915487012,,,32,4.227583,8.876572737,,,32,4.119881,9.191803598,,,32,4.203251,9.054070825
100000007,1,153.196819,1,,100000007,1,154.640491,1,,100000007,1,159.600644,1,,100000007,1,164.365221,1,,100000007,1,160.907605,1,,100000007,1,153.171118,1,,100000007,1,161.986768,1,,100000007,1,156.428169,1,,100000007,1,158.0371044,1
,2,77.351459,1.980529146,,,2,77.790251,1.987916082,,,2,78.116763,2.043103655,,,2,85.007957,1.933527481,,,2,81.153662,1.982752239,,,2,78.165252,1.959580684,,,2,79.392424,2.040330297,,,2,78.224613,1.999730814,,,2,79.40029763,1.990384282
,4,45.108782,3.396163944,,,4,44.550448,3.47113212,,,4,40.321316,3.958220114,,,4,50.482161,3.255906993,,,4,47.917123,3.358039776,,,4,40.221921,3.808150237,,,4,42.144391,3.843613922,,,4,40.420402,3.870030016,,,4,43.895818,3.60027701
,8,28.127661,5.446482699,,,8,27.141477,5.697570954,,,8,26.493169,6.024218696,,,8,29.705948,5.53307442,,,8,28.852995,5.576807711,,,8,26.51546,5.7766721,,,8,26.965158,6.007261964,,,8,27.112439,5.769608887,,,8,27.61428838,5.723019266
,16,19.088608,8.025562629,,,16,20.317218,7.611302443,,,16,19.892404,8.023195387,,,16,24.415142,6.732101783,,,16,21.808822,7.378097038,,,16,19.402862,7.894253848,,,16,20.717827,7.818714192,,,16,19.824943,7.890472573,,,16,20.68347825,7.640741198
,32,16.454251,9.310470528,,,32,17.339342,8.918475165,,,32,17.108924,9.328502716,,,32,17.975785,9.143701986,,,32,18.364153,8.762048813,,,32,17.525497,8.739901527,,,32,16.365249,9.898215909,,,32,17.089954,9.153223525,,,32,17.27789438,9.146780328
1000000007,1,975.769773,1,,1000000007,1,889.253626,1,,1000000007,1,928.122377,1,,1000000007,1,926.433976,1,,1000000007,1,944.659664,1,,1000000007,1,838.802135,1,,1000000007,1,848.308661,1,,1000000007,1,847.220091,1,,1000000007,1,899.8212879,1
,2,424.215269,2.300175982,,,2,455.869637,1.950675267,,,2,425.164628,2.182971762,,,2,493.501343,1.877267386,,,2,575.391843,1.641767563,,,2,437.093714,1.91904415,,,2,464.576371,1.825983227,,,2,433.40092,1.954818395,,,2,463.6517156,1.940726751
,4,220.155488,4.432184643,,,4,239.985279,3.705450725,,,4,235.658506,3.938420865,,,4,257.35462,3.599834252,,,4,239.305251,3.947509133,,,4,221.495824,3.786988485,,,4,229.767293,3.692034014,,,4,239.717639,3.534241763,,,4,235.4299875,3.822033452
,8,143.255274,6.811405582,,,8,133.940832,6.639152622,,,8,156.946504,5.913622498,,,8,154.253315,6.005925876,,,8,127.962699,7.382304932,,,8,141.708132,5.919223711,,,8,141.895875,5.978388456,,,8,132.520563,6.39312173,,,8,141.5603993,6.356447796
,16,98.731091,9.883105343,,,16,102.394141,8.684614347,,,16,120.58404,7.696892367,,,16,118.264289,7.833590206,,,16,107.374903,8.797769661,,,16,103.045215,8.140136687,,,16,103.339001,8.208988405,,,16,108.345222,7.819635009,,,16,107.7597378,8.35025499
,32,87.998396,11.08849499,,,32,86.532677,10.2765066,,,32,96.84902,9.583188111,,,32,95.771064,9.673422611,,,32,90.793544,10.40448057,,,32,87.254011,9.613336114,,,32,91.669725,9.253967556,,,32,90.464137,9.365259197,,,32,90.91657175,9.897219732
